product_id,product_name,price,total_sold,total_revenue,current_stock,stock_status
2,"Apple MacBook Air M2",1299.00,1,1299.00,180,"Low Stock"
1,"Samsung Galaxy S23",999.99,1,999.99,320,"Moderate Stock"
3,"Sony WH-1000XM5 Headphones",379.99,2,759.98,250,"Moderate Stock"
14,"Wooden Coffee Table",199.99,1,199.99,0,"Sufficient Stock"
20,"Adjustable Dumbbell Set",89.99,2,179.98,260,"Moderate Stock"
4,"Men’s Slim Fit Jeans",59.99,3,179.97,600,"Sufficient Stock"
21,"Wireless Mouse",19.99,3,59.97,0,"Sufficient Stock"
6,"Unisex Hoodie",39.99,1,39.99,0,"Sufficient Stock"
10,"LEGO Classic Set",39.99,1,39.99,400,"Moderate Stock"
16,"Organic Green Tea (Pack of 50)",9.49,4,19.96,0,"Sufficient Stock"
5,"Women’s Summer Dress",45.00,0,0.00,480,"Sufficient Stock"
7,"Hydrating Face Cream",24.99,0,0.00,750,"Sufficient Stock"
8,"Organic Shampoo",14.99,0,0.00,0,"Sufficient Stock"
9,"Matte Lipstick Set",22.50,0,0.00,0,"Sufficient Stock"
11,"UNO Card Game",9.99,0,0.00,0,"Sufficient Stock"
12,"RC Car Turbo Racer",59.99,0,0.00,0,"Sufficient Stock"
13,"Ergonomic Office Chair",149.00,0,0.00,120,"Low Stock"
15,"3-Seater Sofa",499.00,0,0.00,0,"Sufficient Stock"
17,"Whole Grain Pasta 1kg",4.99,0,0.00,540,"Sufficient Stock"
18,"Almond Butter 500g",12.99,0,0.00,0,"Sufficient Stock"
19,"Yoga Mat",29.99,0,0.00,0,"Sufficient Stock"
22,"A4 Notebook Pack",14.99,0,0.00,0,"Sufficient Stock"
